"id","label","topic","text","length_chars","length_words","quality_score","sentiment","source_detail","timestamp","plagiarism_score","notes"
"305","human","food","As someone who follows food, I believe privacy concerns remain a top challenge. I would love to hear others' thoughts on this.","126","22","2.37","0.44","author_50","2023-12-19 11:21:46","0.045","personal_tone"
"341","ai","travel","Analysis indicates that travel is associated with privacy concerns remain a top challenge. Community feedback will shape future developments.","141","19","3.44","0.6","gpt-5-base","2024-04-01 17:43:26","0.007",""
"48","human","education","I recently experienced education in my day-to-day life and found that the results are promising but preliminary.","112","17","3.16","-0.43","author_33","2025-08-28 07:56:09","0.163","personal_tone"
"68","ai","sports","Analysis indicates that sports is associated with costs can vary greatly depending on implementation.","101","14","3.32","0.44","claude-2","2023-10-23 14:34:48","0.122",""
"480","human","finance","In my experience, finance often leads to users report a mixed set of outcomes.","78","14","3.52","-0.31","author_87","2024-11-28 11:31:37","0.105",""
"486","ai","education","Analysis indicates that education is associated with privacy concerns remain a top challenge.","93","13","3.42","0.87","gpt-4o-mini","2024-08-04 17:35:42","0.106",""
"311","ai","sports","The following summary on sports shows it requires more data for conclusive evidence. Implementation details matter a lot here.","126","19","4.22","0.12","gpt-4o-mini","2023-08-29 00:05:58","0.002",""
"32","ai","science","This article discusses science and highlights that costs can vary greatly depending on implementation. This could change as new data becomes available.","151","22","4.91","-0.2","llama-3-small","2023-04-22 21:43:13","0.065",""
"250","human","education","I recently experienced education in my day-to-day life and found that privacy concerns remain a top challenge. it requires more data for conclusive evidence it requires more data for conclusive evidence","202","31","2.65","0.23","author_73","2023-01-09 13:25:54","0.07","personal_tone"
"91","ai","science","Research-style summary on science suggests it can be optimized with simple heuristics.","86","12","3.54","-0.45","llama-3-small","2024-05-16 22:24:54","0.061",""
"323","human","entertainment","After trying several approaches related to entertainment, I noticed costs can vary greatly depending on implementation.","119","16","4.01","-0.06","author_85","2024-04-08 04:09:05","0.034","personal_tone"
