id,label,source_detail,ttr,sent_len_std
1,human,author_28,0.9565217391304348,2.5
2,human,author_1,1.0,
3,human,author_69,0.7575757575757576,2.449489742783178
4,human,author_30,0.9230769230769231,
5,ai,gpt-4o-mini,1.0,
6,human,author_100,1.0,
7,human,author_32,0.9354838709677419,4.0
8,ai,gpt-5-base,1.0,
9,human,author_15,1.0,
10,ai,claude-2,1.0,
11,human,author_63,1.0,4.0
12,human,author_69,0.8888888888888888,5.0
13,human,author_52,0.9545454545454546,5.5
14,ai,gpt-4o-mini,0.95,3.7712361663282534
15,human,author_32,0.9333333333333333,3.5
16,ai,gpt-4o-mini,1.0,3.5
17,human,author_10,1.0,7.0
18,ai,bloomz-7b,1.0,
19,ai,claude-2,0.9565217391304348,2.0
20,ai,claude-2,1.0,1.5
21,human,author_6,1.0,6.0
22,human,author_86,1.0,
23,ai,llama-3-small,1.0,4.0
24,human,author_71,0.95,4.0
25,ai,llama-3-small,1.0,2.0
26,ai,gpt-5-base,1.0,
27,ai,gpt-5-base,0.95,1.0
28,ai,gpt-4o-mini,1.0,
29,ai,gpt-4o-mini,1.0,
30,human,author_59,1.0,
31,ai,claude-2,0.9375,4.0
32,ai,llama-3-small,0.9545454545454546,3.0
33,ai,claude-2,1.0,
34,human,author_86,1.0,
35,ai,llama-3-small,0.9285714285714286,
36,ai,gpt-5-base,1.0,
37,ai,gpt-5-base,1.0,
38,human,author_92,1.0,4.5
39,ai,claude-2,0.9545454545454546,1.5
40,ai,bloomz-7b,0.9473684210526315,3.0
41,ai,claude-2,0.9230769230769231,
42,ai,bloomz-7b,0.95,2.5
43,human,author_75,0.9090909090909091,
44,human,author_95,1.0,3.5
45,human,author_51,1.0,0.0
46,human,author_49,1.0,
47,ai,gpt-4o-mini,1.0,
48,human,author_33,1.0,
49,ai,llama-3-small,,
50,ai,claude-2,1.0,
51,human,author_59,0.9354838709677419,1.5
52,human,author_94,1.0,
53,ai,bloomz-7b,1.0,
54,ai,claude-2,0.9230769230769231,
55,human,author_12,1.0,
56,ai,bloomz-7b,1.0,
57,ai,bloomz-7b,1.0,4.5
58,ai,gpt-4o-mini,1.0,2.5
59,human,author_44,1.0,
60,human,author_73,0.9565217391304348,2.5
61,ai,bloomz-7b,1.0,
62,ai,gpt-5-base,0.7333333333333333,1.0
63,human,author_26,0.7666666666666667,2.0
64,ai,claude-2,1.0,
65,ai,gpt-4o-mini,,
66,ai,llama-3-small,0.875,4.0
67,human,author_61,1.0,
68,ai,claude-2,1.0,
69,human,author_47,1.0,1.5
70,ai,llama-3-small,0.6666666666666666,1.5
71,human,author_35,0.9615384615384616,4.0
72,ai,bloomz-7b,0.9444444444444444,4.5
73,ai,bloomz-7b,1.0,
74,ai,bloomz-7b,1.0,
75,human,author_76,1.0,
76,ai,llama-3-small,1.0,
77,ai,bloomz-7b,1.0,
78,human,author_91,1.0,
79,human,author_88,1.0,4.0
80,human,author_82,1.0,
81,ai,claude-2,1.0,
82,ai,claude-2,1.0,
83,ai,llama-3-small,,
84,human,author_81,1.0,
85,human,author_17,1.0,
86,ai,llama-3-small,1.0,
87,human,author_51,1.0,
88,human,author_14,1.0,
89,human,author_90,1.0,
90,ai,bloomz-7b,0.8947368421052632,0.5
91,ai,llama-3-small,1.0,
92,human,author_83,1.0,
93,ai,gpt-4o-mini,0.9565217391304348,2.0
94,human,author_30,1.0,
95,ai,gpt-4o-mini,1.0,
96,human,author_100,1.0,2.5
97,ai,bloomz-7b,1.0,
98,human,author_75,0.5862068965517241,0.5
99,ai,claude-2,,
100,human,author_33,1.0,
101,ai,gpt-4o-mini,0.9333333333333333,3.265986323710904
102,ai,gpt-5-base,1.0,
103,human,author_83,1.0,2.5
104,human,author_9,0.96,5.0
105,human,author_7,0.9473684210526315,4.5
106,human,author_97,1.0,
107,human,author_77,1.0,
108,human,author_56,1.0,
109,human,author_6,1.0,
110,ai,gpt-4o-mini,1.0,
111,ai,claude-2,1.0,
112,human,author_31,0.7941176470588235,5.2493385826745405
113,human,author_97,1.0,5.5
114,ai,llama-3-small,0.9166666666666666,
115,human,author_12,1.0,
116,ai,claude-2,,
117,ai,gpt-4o-mini,1.0,
118,human,author_7,1.0,
119,ai,llama-3-small,1.0,
120,human,author_49,1.0,
121,ai,bloomz-7b,1.0,
122,human,author_99,0.9565217391304348,2.5
123,human,author_31,1.0,4.5
124,ai,claude-2,1.0,4.5
125,ai,gpt-4o-mini,1.0,
126,ai,claude-2,1.0,
127,human,author_50,1.0,
128,human,author_61,0.8108108108108109,1.5
129,ai,llama-3-small,1.0,3.5
130,human,author_66,1.0,5.0
131,human,author_9,0.9545454545454546,3.5
132,human,author_94,1.0,
133,human,author_62,1.0,4.5
134,human,author_5,0.9473684210526315,4.4969125210773475
135,human,author_50,1.0,
136,ai,gpt-5-base,1.0,
137,ai,gpt-4o-mini,1.0,
138,ai,gpt-5-base,0.9285714285714286,
139,human,author_20,0.9523809523809523,1.5
140,ai,gpt-4o-mini,1.0,
141,human,author_37,1.0,
142,ai,gpt-4o-mini,1.0,
143,ai,gpt-4o-mini,1.0,
144,ai,bloomz-7b,0.9166666666666666,
145,ai,claude-2,0.95,2.0
146,human,author_67,1.0,6.0
147,ai,gpt-5-base,1.0,
148,human,author_99,1.0,
149,ai,gpt-4o-mini,0.7,4.0
150,human,author_45,1.0,
151,ai,llama-3-small,0.9090909090909091,
152,ai,gpt-5-base,1.0,
153,ai,llama-3-small,1.0,
154,human,author_34,1.0,
155,ai,claude-2,1.0,
156,ai,gpt-5-base,0.9523809523809523,1.0
157,ai,claude-2,0.9473684210526315,1.5
158,ai,llama-3-small,1.0,
159,ai,bloomz-7b,1.0,
160,ai,gpt-5-base,1.0,
161,human,author_95,0.9473684210526315,2.5
162,human,author_69,1.0,
163,ai,gpt-5-base,1.0,
164,ai,bloomz-7b,1.0,
165,ai,claude-2,1.0,
166,ai,gpt-4o-mini,1.0,3.5
167,ai,gpt-4o-mini,0.8,3.0
168,human,author_5,1.0,
169,ai,gpt-5-base,0.9666666666666667,1.0
170,ai,claude-2,1.0,
171,human,author_32,1.0,
172,human,author_47,1.0,
173,human,author_82,0.9090909090909091,
174,ai,bloomz-7b,1.0,3.5
175,human,author_65,0.9333333333333333,
176,human,author_58,1.0,4.0
177,human,author_1,1.0,
178,human,author_61,1.0,
179,human,author_49,1.0,
180,ai,claude-2,1.0,
181,ai,bloomz-7b,1.0,
182,human,author_3,0.9444444444444444,5.0
183,human,author_30,1.0,
184,human,author_42,1.0,
185,human,author_55,1.0,4.5
186,ai,bloomz-7b,1.0,
187,human,author_32,1.0,
188,ai,claude-2,1.0,
189,human,author_2,1.0,
190,human,author_37,0.9090909090909091,
191,ai,llama-3-small,1.0,
192,human,author_38,1.0,5.5
193,human,author_63,1.0,
194,ai,gpt-4o-mini,1.0,4.0
195,human,author_80,1.0,
196,ai,bloomz-7b,1.0,
197,human,author_52,0.9411764705882353,5.5
198,ai,bloomz-7b,0.9166666666666666,
199,ai,gpt-4o-mini,1.0,
200,human,author_41,1.0,5.0
201,human,author_50,0.9166666666666666,
202,ai,claude-2,1.0,
203,ai,claude-2,1.0,
204,ai,bloomz-7b,0.9166666666666666,
205,ai,claude-2,0.9473684210526315,2.0
206,ai,gpt-5-base,0.7931034482758621,3.0
207,human,author_10,1.0,
208,ai,claude-2,1.0,
209,ai,gpt-5-base,1.0,
210,ai,llama-3-small,0.8333333333333334,
211,ai,gpt-5-base,1.0,2.0
212,ai,claude-2,0.9545454545454546,0.5
213,ai,claude-2,1.0,
214,human,author_72,0.775,5.715476066494082
215,human,author_54,1.0,
216,human,author_90,1.0,
217,ai,llama-3-small,0.8387096774193549,0.816496580927726
218,ai,bloomz-7b,1.0,
219,ai,gpt-4o-mini,0.9473684210526315,0.0
220,ai,llama-3-small,1.0,
221,human,author_50,0.9230769230769231,4.0
222,ai,llama-3-small,1.0,
223,ai,bloomz-7b,1.0,
224,ai,claude-2,0.96,3.2998316455372216
225,ai,bloomz-7b,1.0,
226,human,author_16,1.0,
227,human,author_8,0.9166666666666666,
228,ai,gpt-4o-mini,1.0,
229,human,author_74,1.0,3.0
230,ai,bloomz-7b,1.0,1.5
231,ai,bloomz-7b,1.0,
232,human,author_98,1.0,
233,human,author_39,0.9333333333333333,4.5
234,human,author_90,1.0,
235,human,author_55,0.9230769230769231,5.2493385826745405
236,human,author_100,1.0,
237,human,author_53,0.9230769230769231,
238,ai,gpt-4o-mini,0.9,1.0
239,human,author_27,1.0,
240,human,author_10,1.0,
241,human,author_99,1.0,
242,human,author_52,0.9615384615384616,5.2493385826745405
243,human,author_51,0.9166666666666666,3.0
244,human,author_85,0.9565217391304348,2.5
245,human,author_17,1.0,
246,ai,bloomz-7b,1.0,
247,ai,claude-2,1.0,4.0
248,human,author_92,0.9473684210526315,2.0
249,ai,gpt-4o-mini,0.9230769230769231,
250,human,author_73,0.7666666666666667,2.0
251,ai,gpt-5-base,1.0,
252,human,author_49,1.0,5.0
253,ai,gpt-5-base,1.0,
254,ai,gpt-5-base,1.0,
255,human,author_26,1.0,
256,human,author_60,1.0,3.5
257,ai,gpt-5-base,1.0,
258,ai,claude-2,1.0,
259,human,author_48,1.0,7.5
260,human,author_43,1.0,3.5
261,human,author_28,0.9565217391304348,6.0
262,human,author_50,0.78125,1.0
263,human,author_63,1.0,5.0
264,ai,bloomz-7b,1.0,
265,ai,bloomz-7b,0.9375,4.0
266,ai,claude-2,1.0,
267,human,author_62,1.0,
268,human,author_19,1.0,
269,human,author_18,1.0,
270,human,author_49,0.95,4.0
271,ai,claude-2,1.0,
272,ai,llama-3-small,0.7272727272727273,4.4969125210773475
273,ai,bloomz-7b,0.9545454545454546,1.5
274,human,author_29,1.0,
275,human,author_10,1.0,
276,human,author_13,1.0,
277,ai,gpt-4o-mini,1.0,
278,ai,gpt-5-base,0.9230769230769231,2.494438257849294
279,human,author_70,0.9090909090909091,
280,ai,gpt-5-base,1.0,
281,human,author_69,1.0,
282,ai,claude-2,1.0,
283,human,author_88,1.0,
284,ai,llama-3-small,1.0,
285,ai,claude-2,1.0,
286,human,author_74,1.0,
287,ai,gpt-4o-mini,1.0,
288,ai,gpt-5-base,1.0,
289,human,author_98,1.0,
290,ai,gpt-5-base,1.0,3.0
291,human,author_16,1.0,2.0
292,human,author_34,1.0,
293,human,author_53,1.0,3.0
294,human,author_91,1.0,
295,ai,gpt-4o-mini,0.9285714285714286,
296,ai,llama-3-small,,
297,ai,llama-3-small,0.9166666666666666,
298,human,author_44,1.0,
299,human,author_17,1.0,
300,ai,claude-2,1.0,
301,ai,bloomz-7b,1.0,2.5
302,ai,gpt-5-base,1.0,3.0
303,human,author_98,1.0,1.5
304,human,author_48,1.0,
305,human,author_50,0.9545454545454546,2.0
306,ai,gpt-5-base,1.0,
307,ai,gpt-4o-mini,0.8846153846153846,3.2998316455372216
308,ai,bloomz-7b,0.9473684210526315,0.5
309,human,author_35,1.0,
310,human,author_26,0.7058823529411765,5.5
311,ai,gpt-4o-mini,1.0,3.5
312,human,author_59,1.0,
313,ai,gpt-4o-mini,1.0,5.0
314,human,author_12,1.0,
315,ai,gpt-5-base,1.0,
316,human,author_79,1.0,3.0
317,human,author_74,1.0,4.5
318,human,author_83,1.0,
319,ai,llama-3-small,1.0,3.5
320,human,author_74,1.0,
321,ai,claude-2,1.0,
322,human,author_7,1.0,
323,human,author_85,1.0,
324,human,author_22,0.9285714285714286,
325,ai,gpt-5-base,1.0,
326,ai,claude-2,1.0,
327,human,author_23,1.0,
328,human,author_98,0.9090909090909091,
329,human,author_90,1.0,
330,ai,gpt-5-base,0.95,2.0
331,ai,bloomz-7b,0.9090909090909091,
332,human,author_8,0.95,5.5
333,ai,claude-2,1.0,
334,ai,llama-3-small,0.7037037037037037,0.0
335,human,author_93,1.0,
336,human,author_21,1.0,5.0
337,ai,llama-3-small,1.0,
338,ai,claude-2,1.0,2.5
339,ai,claude-2,0.9230769230769231,
340,human,author_15,1.0,4.5
341,ai,gpt-5-base,1.0,3.5
342,ai,bloomz-7b,1.0,3.0
343,human,author_10,1.0,
344,human,author_50,1.0,6.5
345,human,author_37,1.0,3.7712361663282534
346,ai,gpt-5-base,1.0,
347,ai,llama-3-small,0.6666666666666666,3.0
348,human,author_97,1.0,5.0
349,ai,gpt-5-base,1.0,
350,human,author_73,1.0,
351,ai,llama-3-small,1.0,4.5
352,ai,gpt-5-base,1.0,
353,human,author_28,1.0,
354,human,author_76,1.0,
355,ai,claude-2,1.0,
356,human,author_6,1.0,
357,human,author_59,1.0,
358,human,author_23,1.0,
359,ai,llama-3-small,0.9090909090909091,
360,ai,gpt-5-base,1.0,4.0
361,ai,bloomz-7b,1.0,
362,human,author_34,1.0,
363,human,author_28,1.0,
364,ai,llama-3-small,0.9444444444444444,3.5
365,human,author_65,1.0,
366,ai,gpt-5-base,1.0,3.0
367,human,author_18,0.9696969696969697,2.5
368,ai,gpt-4o-mini,1.0,
369,human,author_88,1.0,1.0
370,ai,bloomz-7b,1.0,
371,human,author_79,1.0,
372,human,author_48,1.0,
373,human,author_100,1.0,
374,human,author_87,0.9565217391304348,6.0
375,human,author_91,0.9666666666666667,2.0
376,human,author_25,1.0,
377,ai,claude-2,1.0,
378,ai,bloomz-7b,0.9166666666666666,
379,ai,bloomz-7b,1.0,0.0
380,ai,gpt-5-base,1.0,
381,ai,gpt-5-base,0.9230769230769231,
382,human,author_85,1.0,5.5
383,ai,bloomz-7b,,
384,human,author_16,0.95,5.436502143433364
385,ai,llama-3-small,1.0,
386,human,author_52,1.0,
387,ai,bloomz-7b,1.0,3.0
388,human,author_93,1.0,
389,ai,bloomz-7b,1.0,
390,human,author_87,0.9285714285714286,
391,human,author_49,1.0,3.5
392,ai,llama-3-small,1.0,
393,human,author_67,0.9285714285714286,
394,ai,gpt-4o-mini,1.0,3.5
395,human,author_50,1.0,5.5
396,ai,claude-2,0.8571428571428571,0.5
397,ai,bloomz-7b,0.9230769230769231,
398,ai,gpt-5-base,0.95,1.0
399,ai,gpt-4o-mini,1.0,3.0
400,ai,gpt-4o-mini,1.0,
401,ai,gpt-4o-mini,1.0,
402,human,author_7,1.0,
403,human,author_44,1.0,
404,ai,bloomz-7b,1.0,
405,human,author_57,0.9545454545454546,3.5
406,human,author_6,0.7878787878787878,2.5
407,human,author_22,0.9565217391304348,2.0
408,ai,gpt-4o-mini,1.0,3.5
409,human,author_20,1.0,
410,human,author_3,1.0,
411,ai,gpt-5-base,1.0,
412,ai,llama-3-small,1.0,
413,ai,gpt-4o-mini,,
414,ai,gpt-4o-mini,0.9090909090909091,
415,human,author_80,0.9565217391304348,6.0
416,ai,claude-2,0.9,3.5
417,ai,gpt-5-base,0.9333333333333333,1.5
418,ai,claude-2,1.0,
419,ai,llama-3-small,1.0,5.0
420,ai,bloomz-7b,1.0,
421,ai,gpt-5-base,1.0,3.5
422,human,author_20,1.0,
423,human,author_93,1.0,4.5
424,ai,claude-2,0.8333333333333334,
425,ai,claude-2,1.0,
426,human,author_87,1.0,
427,ai,claude-2,,
428,human,author_51,1.0,4.0
429,human,author_53,0.9130434782608695,2.5
430,ai,bloomz-7b,0.9230769230769231,
431,human,author_80,0.9473684210526315,2.0
432,human,author_97,0.8181818181818182,0.5
433,ai,gpt-5-base,0.9259259259259259,1.5
434,ai,bloomz-7b,0.9545454545454546,3.0
435,human,author_72,1.0,
436,human,author_39,1.0,
437,human,author_29,1.0,
438,human,author_74,1.0,4.5
439,human,author_40,1.0,
440,human,author_19,1.0,
441,human,author_25,1.0,
442,human,author_88,1.0,
443,human,author_21,0.9411764705882353,3.5
444,human,author_57,0.9583333333333334,0.0
445,ai,claude-2,0.9230769230769231,
446,human,author_6,0.9090909090909091,
447,ai,claude-2,1.0,
448,human,author_90,1.0,
449,human,author_42,1.0,
450,human,author_21,1.0,
451,ai,gpt-5-base,1.0,
452,human,author_1,1.0,
453,ai,bloomz-7b,1.0,
454,ai,llama-3-small,1.0,1.5
455,human,author_37,1.0,
456,human,author_9,0.6923076923076923,0.5
457,ai,gpt-4o-mini,1.0,
458,human,author_79,1.0,
459,ai,bloomz-7b,1.0,
460,human,author_37,0.9166666666666666,
461,ai,claude-2,1.0,
462,human,author_20,1.0,
463,ai,llama-3-small,1.0,
464,human,author_49,0.9166666666666666,
465,human,author_12,0.9523809523809523,1.5
466,ai,gpt-4o-mini,1.0,
467,ai,llama-3-small,,
468,human,author_88,0.9545454545454546,2.0
469,human,author_86,0.9736842105263158,4.109609335312651
470,human,author_91,0.7666666666666667,0.5
471,ai,gpt-4o-mini,0.9444444444444444,3.0
472,human,author_40,1.0,
473,ai,llama-3-small,1.0,
474,ai,llama-3-small,0.9444444444444444,3.0
475,ai,gpt-5-base,1.0,
476,human,author_62,1.0,0.0
477,ai,gpt-5-base,0.9230769230769231,
478,human,author_9,1.0,3.5
479,human,author_82,1.0,
480,human,author_87,1.0,
481,ai,claude-2,1.0,
482,human,author_49,1.0,2.5
483,ai,gpt-5-base,1.0,4.0
484,ai,claude-2,0.7837837837837838,1.699673171197595
485,ai,claude-2,0.8333333333333334,
486,ai,gpt-4o-mini,1.0,
487,ai,gpt-4o-mini,1.0,
488,human,author_66,0.9230769230769231,
489,ai,claude-2,1.0,
490,ai,gpt-5-base,0.95,1.0
491,human,author_95,1.0,
492,human,author_11,1.0,
493,human,author_74,1.0,
494,ai,bloomz-7b,1.0,4.0
495,ai,llama-3-small,0.92,0.5
496,ai,claude-2,1.0,
497,human,author_93,1.0,5.5
498,ai,claude-2,0.7567567567567568,2.0548046676563256
499,human,author_86,1.0,
500,ai,gpt-5-base,1.0,2.0
